9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
000000000      (none)                               0   0   0   0x000000
000000001      L1                                   1   0   0   0x010000
000000010      L2                                   0  19   0   0x001300
000000011      L1+L2                                1   9   0   0x010900
000000100      L3                                   0   2   0   0x000200
000000101      L1+L3                                1   1   0   0x010100
000000110      L2+L3                                0  20   0   0x001400
000000111      L1+L2+L3                             1  10   0   0x010A00
000001000      L4                                   0   0  23   0x000017
000001001      L1+L4                                1   0  11   0x01000B
000001010      L2+L4                                0  19  11   0x00130B
000001011      L1+L2+L4                             1   9   5   0x010905
000001100      L3+L4                                0   2  11   0x00020B
000001101      L1+L3+L4                             1   1   5   0x010105
000001110      L2+L3+L4                             0  20   5   0x001405
000001111      L1+L2+L3+L4                          1  10   2   0x010A02
000010000      L5                                   0   0 111   0x00006F
000010001      L1+L5                                1   0  55   0x010037
000010010      L2+L5                                0  19  55   0x001337
000010011      L1+L2+L5                             1   9  27   0x01091B
000010100      L3+L5                                0   2  55   0x000237
000010101      L1+L3+L5                             1   1  27   0x01011B
000010110      L2+L3+L5                             0  20  27   0x00141B
000010111      L1+L2+L3+L5                          1  10  13   0x010A0D
000011000      L4+L5                                0   0  78   0x00004E
000011001      L1+L4+L5                             1   0  39   0x010027
000011010      L2+L4+L5                             0  19  39   0x001327
000011011      L1+L2+L4+L5                          1   9  19   0x010913
000011100      L3+L4+L5                             0   2  39   0x000227
000011101      L1+L3+L4+L5                          1   1  19   0x010113
000011110      L2+L3+L4+L5                          0  20  19   0x001413
000011111      L1+L2+L3+L4+L5                       1  10   9   0x010A09
000100000      L6                                   0   0  31   0x00001F
000100001      L1+L6                                1   0  15   0x01000F
000100010      L2+L6                                0  19  15   0x00130F
000100011      L1+L2+L6                             1   9   7   0x010907
000100100      L3+L6                                0   2  15   0x00020F
000100101      L1+L3+L6                             1   1   7   0x010107
000100110      L2+L3+L6                             0  20   7   0x001407
000100111      L1+L2+L3+L6                          1  10   3   0x010A03
000101000      L4+L6                                0   0  39   0x000027
000101001      L1+L4+L6                             1   0  19   0x010013
000101010      L2+L4+L6                             0  19  19   0x001313
000101011      L1+L2+L4+L6                          1   9   9   0x010909
000101100      L3+L4+L6                             0   2  19   0x000213
000101101      L1+L3+L4+L6                          1   1   9   0x010109
000101110      L2+L3+L4+L6                          0  20   9   0x001409
000101111      L1+L2+L3+L4+L6                       1  10   4   0x010A04
000110000      L5+L6                                0   0 127   0x00007F
000110001      L1+L5+L6                             1   0  63   0x01003F
000110010      L2+L5+L6                             0  19  63   0x00133F
000110011      L1+L2+L5+L6                          1   9  31   0x01091F
000110100      L3+L5+L6                             0   2  63   0x00023F
000110101      L1+L3+L5+L6                          1   1  31   0x01011F
000110110      L2+L3+L5+L6                          0  20  31   0x00141F
000110111      L1+L2+L3+L5+L6                       1  10  15   0x010A0F
000111000      L4+L5+L6                             0   0  86   0x000056
000111001      L1+L4+L5+L6                          1   0  43   0x01002B
000111010      L2+L4+L5+L6                          0  19  43   0x00132B
000111011      L1+L2+L4+L5+L6                       1   9  21   0x010915
000111100      L3+L4+L5+L6                          0   2  43   0x00022B
000111101      L1+L3+L4+L5+L6                       1   1  21   0x010115
000111110      L2+L3+L4+L5+L6                       0  20  21   0x001415
000111111      L1+L2+L3+L4+L5+L6                    1  10  10   0x010A0A
001000000      L7                                  62   0   0   0x3E0000
001000001      L1+L7                               32   0   0   0x200000
001000010      L2+L7                               31  19   0   0x1F1300
001000011      L1+L2+L7                            16   9   0   0x100900
001000100      L3+L7                               31   2   0   0x1F0200
001000101      L1+L3+L7                            16   1   0   0x100100
